Team ID , Team  , Region , Country , Track , Section , Size , Status , Year
3456,Aachen,Europe,Germany,Foundational Advance(P),IGEM,18,Accepted,2020
3386,Aalto-Helsinki,Europe,Finland,Environment(P),IGEM,13,Accepted,2020
3504,AFCM-Egypt,Africa,Egypt,Therapeutics(P),IGEM,10,Accepted,2020
3656,AHUT-ZJU-China,Asia,China,,IGEM,18,Accepted,2020
3465,Aix-Marseille,Europe,France,,IGEM,29,Accepted,2020
3445,Alma,North America,United States,,IGEM,11,Accepted,2020
3437,Amsterdam,Europe,Netherlands,Information Processing(P),IGEM,11,Accepted,2020
3368,AshesiGhana,Africa,Ghana,Environment(P),IGEM,13,Accepted,2020
3576,ASTWS-China,Asia,China,High School,High_school,14,Accepted,2020
3520,Athens,Europe,Greece,,IGEM,1,Pending,2020
3626,AUC-EGYPT,Africa,Egypt,,IGEM,5,Accepted,2020
3569,Austin_UTexas,North America,United States,,IGEM,19,Accepted,2020
3651,Baltimore_BioCrew,North America,United States,High School,High_school,5,Accepted,2020
3598,Beijing_4ELEVEN,Asia,China,High School,High_school,15,Accepted,2020
3394,BGU-Israel,Asia,Israel,Environment(P),IGEM,11,Accepted,2020
3399,BHSF,Asia,China,High School,High_school,10,Accepted,2020
3410,Bielefeld-CeBiTec,Europe,Germany,Diagnostics(P),IGEM,19,Accepted,2020
3471,BIT,Asia,China,,IGEM,12,Accepted,2020
3496,BIT-China,Asia,China,,IGEM,19,Accepted,2020
3512,BITSPilani-Goa_India,Asia,India,Food & Nutrition(P),IGEM,13,Accepted,2020
3693,BJ101HS,Asia,China,High School,High_school,1,Pending,2020
3329,BNDS_China,Asia,China,High School,High_school,26,Accepted,2020
3506,BNU-China,Asia,China,Foundational Advance(P),IGEM,39,Accepted,2020
3514,BOKU-Vienna,Europe,Austria,Therapeutics(P),IGEM,22,Accepted,2020
3364,Botchan_Lab_Tokyo,Asia,Japan,,IGEM,12,Accepted,2020
3590,Brno_Czech_Republic,Europe,Czech Republic,,IGEM,26,Accepted,2020
3699,BUCT,Asia,China,,IGEM,18,Accepted,2020
3664,BUCT-China,Asia,China,,IGEM,19,Accepted,2020
3629,Calgary,North America,Canada,,IGEM,15,Accepted,2020
3467,CAU_China,Asia,China,Manufacturing(P),IGEM,23,Accepted,2020
3551,CCA_San_Diego,North America,United States,High School,High_school,1,Accepted,2020
3648,CCU_Taiwan,Asia,Taiwan,,IGEM,21,Accepted,2020
3477,Chalmers-Gothenburg,Europe,Sweden,Environment(P),IGEM,13,Accepted,2020
3588,CLS_CLSG_UK,Europe,United Kingdom,High School,High_school,17,Accepted,2020
3363,Concordia-Montreal,North America,Canada,Information Processing(P),IGEM,18,Accepted,2020
3419,Cornell,North America,United States,,IGEM,22,Accepted,2020
3661,CPU_CHINA,Asia,China,,IGEM,12,Accepted,2020
3431,CSMU_Taiwan,Asia,Taiwan,Diagnostics(P),IGEM,22,Accepted,2020
3452,CSU_CHINA,Asia,China,Environment(P),IGEM,36,Accepted,2020
3446,CU-Boulder,North America,United States,Environment(P),IGEM,7,Accepted,2020
3694,DeNovocastrians,Asia,Australia,,IGEM,13,Accepted,2020
3652,DNHS_SanDiego_CA,North America,United States,High School,High_school,8,Accepted,2020
3385,DTU-Denmark,Europe,Denmark,,IGEM,17,Accepted,2020
3583,Duesseldorf,Europe,Germany,Environment(P),IGEM,14,Accepted,2020
3354,DUT_China,Asia,China,,IGEM,13,Accepted,2020
3704,ECNUAS,Asia,China,High School,High_school,1,Pending,2020
3480,ECUST_China,Asia,China,,IGEM,7,Accepted,2020
3380,Edinburgh,Europe,United Kingdom,,IGEM,16,Accepted,2020
3600,EPFL,Europe,Switzerland,,IGEM,14,Accepted,2020
3692,Estonia_TUIT,Europe,Estonia,,IGEM,34,Accepted,2020
3453,Evry_Paris-Saclay,Europe,France,,IGEM,18,Accepted,2020
3377,Example,North America,Unspecified,,IGEM,3,Accepted,2020
3371,Exeter,Europe,United Kingdom,,IGEM,14,Accepted,2020
3550,FAFU-CHINA,Asia,China,Environment(P),IGEM,1,Pending,2020
3498,FCB-UANL,Latin America,Mexico,,IGEM,24,Accepted,2020
3466,FDR-HB_Peru,Latin America,Peru,High School,High_school,24,Accepted,2020
3702,FSU,North America,United States,,IGEM,19,Accepted,2020
3606,Fudan,Asia,China,,IGEM,17,Accepted,2020
3417,Gaston_Day_School,North America,United States,Environment(P),IGEM,13,Accepted,2020
3500,GA_State_SW_Jiaotong,North America,United States,,IGEM,6,Accepted,2020
3458,GDSYZX,Asia,China,High School,High_school,19,Accepted,2020
3427,GO_Paris-Saclay,Europe,France,,IGEM,19,Accepted,2020
