pose nb,Avg Affinity Kd
pose0 BF10,1.07E-06
pose0 A23,0.000002175
pose0 A44,6.59E-07
pose0 A50,0.000001025
pose1 BF10,1.35E-06
pose1 A23,1.70E-06
pose1 A44,9.55E-08
pose1 A50,3.40E-07
pose2 BF10,8.58E-07
pose2 A23,9.53E-07
pose2 A44,0.0000033
pose2 A50,1.27E-06
pose3 BF10,9.98E-07
pose3 A23,3.98E-07
pose3 A44,0.000142
pose3 A50,0.00000079
pose4 BF10,0.000009525
pose4 A23,0.00002925
pose4 A44,0.000002525
pose4 A50,1.38E-06
pose5 BF10,2.83E-06
pose5 A23,0.000002
pose5 A44,0.000008725
pose5 A50,0.000018975
pose6 BF10,0.000007925
pose6 A23,0.000006875
pose6 A44,3.78E-07
pose6 A50,0.00002025
pose7 BF10,0.00001275
pose7 A23,0.000017625
pose7 A44,0.00000085
pose7 A50,0.000001175
pose8 BF10,0.000008775
pose8 A23,0.0000705
pose8 A44,0.000002625
pose8 A50,0.000007375
pose9 BF10,0.000003
pose9 A23,0.00003275
pose9 A44,1.42E-06
pose9 A50,0.000019375
exp BF10,4.00E-10
exp A44,3.70E-09
exp A50,2.20E-09
exp A23,2.40E-09
