Creating frame-specific output for files:
run-umbrella.sh
     frame      dist    d_dist
         0     1.708        NA
        68     1.903     0.195
        92     2.106     0.202
       112     2.310     0.204
       137     2.509     0.199
       149     2.704     0.195
       170     2.905     0.201
       184     3.103     0.199
       202     3.324     0.221
       220     3.525     0.201
       241     3.717     0.191
       266     3.914     0.198
       285     4.117     0.203
       293     4.286     0.169
       310     4.481     0.195
       323     4.682     0.201
       351     4.883     0.201
       359     5.072     0.189
       378     5.272     0.200
       404     5.460     0.188
       416     5.664     0.204
       443     5.858     0.194
       478     6.060     0.202
       495     6.137     0.077

